Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Basilicata,4065,4427.0,4358.0,4547.0,4710.0,4858.0,4816.0,4958.0,4912.0,5262.0,5266.0,5416.0,5461.0,5645.0,5622.0,5616.0,5644.0,5784.0,5855.0,6089.0,6329.0,6861.0,6782.0,7134.0,7082.0,6991.0,7025.0,6954.0,7109.0,7219.0,7030.0,7131.0,7051.0,6991.0,7066.0,7477.0,7638.0,8074.0,8145.0,8382.0,8170.0,8361.0,8437.0,8611.0,8812.0,8881.0,9132.0,8884.0,9060.0,9342.0,8874.0,8982.0,8712.0,8583.0,8240.0,7997.0,7827.0,7985.0,7691.0,7711.0,7129.0,7003.0,6891.0,7150.0,7300.0,7518.0,6728.0,6155.0,4885.0,4762.0,4733.0,4769.0,4788.0,5702.0,5862.0,5572.0,5604.0,5279.0,5145.0,5119.0,4952.0,4381.0,4079.0,4194.0,3496.0,3239.0,2968.0,2576.0,2107.0,1685.0,1562.0,1286.0,988.0,776.0,364.0,227.0,187.0,175.0,141.0,91.0,172.0,575814.0,2014
Basilicata,4084,4073.0,4445.0,4365.0,4549.0,4718.0,4854.0,4809.0,4963.0,4914.0,5257.0,5261.0,5417.0,5456.0,5634.0,5631.0,5620.0,5671.0,5806.0,5874.0,6079.0,6339.0,6868.0,6779.0,7124.0,7080.0,6946.0,6980.0,6845.0,7055.0,7142.0,6977.0,7036.0,6957.0,6912.0,7008.0,7425.0,7617.0,8056.0,8097.0,8351.0,8134.0,8333.0,8432.0,8606.0,8813.0,8866.0,9136.0,8874.0,9032.0,9344.0,8856.0,8973.0,8714.0,8574.0,8224.0,7967.0,7805.0,7950.0,7642.0,7673.0,7098.0,6970.0,6855.0,7105.0,7232.0,7435.0,6663.0,6109.0,4821.0,4687.0,4665.0,4715.0,4703.0,5586.0,5725.0,5443.0,5457.0,5104.0,4956.0,4935.0,4731.0,4128.0,3823.0,3917.0,3252.0,2959.0,2672.0,2329.0,1869.0,1443.0,1314.0,1075.0,826.0,614.0,275.0,167.0,152.0,128.0,97.0,179.0,573236.0,2015
Basilicata,4066,4045.0,4084.0,4456.0,4367.0,4525.0,4728.0,4866.0,4811.0,4950.0,4917.0,5263.0,5252.0,5417.0,5453.0,5631.0,5637.0,5636.0,5707.0,5824.0,5918.0,6095.0,6358.0,6851.0,6780.0,7131.0,7026.0,6911.0,6927.0,6795.0,6993.0,7014.0,6909.0,6947.0,6861.0,6816.0,6983.0,7390.0,7554.0,8004.0,8075.0,8322.0,8095.0,8332.0,8411.0,8579.0,8827.0,8849.0,9112.0,8874.0,9034.0,9313.0,8839.0,8957.0,8692.0,8551.0,8193.0,7931.0,7762.0,7916.0,7606.0,7627.0,7041.0,6923.0,6795.0,7051.0,7161.0,7338.0,6593.0,6025.0,4765.0,4613.0,4570.0,4633.0,4585.0,5435.0,5585.0,5276.0,5269.0,4913.0,4752.0,4732.0,4452.0,3872.0,3566.0,3613.0,2979.0,2669.0,2368.0,2000.0,1567.0,1210.0,1070.0,862.0,665.0,465.0,208.0,121.0,114.0,76.0,160.0,569887.0,2016
Basilicata,3989,4042.0,4039.0,4057.0,4455.0,4394.0,4517.0,4714.0,4875.0,4815.0,4957.0,4917.0,5256.0,5268.0,5414.0,5454.0,5650.0,5656.0,5702.0,5747.0,5884.0,5953.0,6124.0,6355.0,6853.0,6752.0,7076.0,6952.0,6782.0,6826.0,6679.0,6848.0,6893.0,6803.0,6879.0,6774.0,6772.0,6917.0,7321.0,7476.0,7976.0,8062.0,8298.0,8084.0,8315.0,8385.0,8544.0,8803.0,8820.0,9109.0,8857.0,9022.0,9306.0,8812.0,8919.0,8662.0,8505.0,8175.0,7905.0,7734.0,7884.0,7557.0,7572.0,6974.0,6875.0,6744.0,6981.0,7086.0,7234.0,6520.0,5970.0,4688.0,4540.0,4508.0,4521.0,4475.0,5308.0,5436.0,5100.0,5098.0,4723.0,4545.0,4481.0,4191.0,3632.0,3288.0,3289.0,2713.0,2338.0,2078.0,1704.0,1336.0,1012.0,863.0,682.0,508.0,359.0,156.0,80.0,72.0,154.0,566405.0,2017
Basilicata,3938,3986.0,4042.0,4034.0,4053.0,4460.0,4373.0,4521.0,4710.0,4855.0,4819.0,4961.0,4921.0,5244.0,5286.0,5434.0,5475.0,5713.0,5779.0,5835.0,5814.0,5908.0,5997.0,6162.0,6377.0,6849.0,6706.0,6998.0,6853.0,6721.0,6678.0,6547.0,6756.0,6829.0,6703.0,6810.0,6724.0,6716.0,6885.0,7299.0,7435.0,7911.0,8029.0,8251.0,8069.0,8312.0,8372.0,8518.0,8766.0,8796.0,9099.0,8829.0,8979.0,9290.0,8781.0,8887.0,8636.0,8471.0,8145.0,7868.0,7702.0,7829.0,7493.0,7510.0,6939.0,6833.0,6676.0,6919.0,6993.0,7159.0,6453.0,5876.0,4592.0,4469.0,4417.0,4411.0,4374.0,5126.0,5255.0,4924.0,4870.0,4493.0,4306.0,4224.0,3888.0,3357.0,3048.0,2960.0,2401.0,2050.0,1750.0,1407.0,1072.0,810.0,690.0,533.0,394.0,245.0,115.0,58.0,132.0,562968.0,2018
Basilicata,3656,3887.0,3979.0,4014.0,4035.0,4027.0,4414.0,4382.0,4509.0,4705.0,4849.0,4803.0,4966.0,4918.0,5235.0,5293.0,5445.0,5495.0,5768.0,5825.0,5825.0,5854.0,5894.0,5990.0,6141.0,6310.0,6775.0,6613.0,6881.0,6666.0,6632.0,6550.0,6430.0,6624.0,6741.0,6630.0,6713.0,6670.0,6663.0,6834.0,7246.0,7402.0,7905.0,8030.0,8225.0,8081.0,8274.0,8362.0,8487.0,8725.0,8776.0,9075.0,8788.0,8937.0,9246.0,8747.0,8846.0,8589.0,8434.0,8103.0,7823.0,7644.0,7779.0,7440.0,7455.0,6881.0,6767.0,6621.0,6856.0,6910.0,7071.0,6377.0,5790.0,4508.0,4393.0,4330.0,4308.0,4252.0,4964.0,5089.0,4726.0,4662.0,4279.0,4053.0,3944.0,3600.0,3079.0,2768.0,2637.0,2148.0,1732.0,1471.0,1175.0,868.0,655.0,545.0,401.0,300.0,165.0,80.0,122.0,558587.0,2019
Basilicata,3630,3639.0,3898.0,3968.0,3996.0,4045.0,4026.0,4406.0,4374.0,4527.0,4722.0,4852.0,4792.0,4953.0,4920.0,5246.0,5289.0,5466.0,5529.0,5748.0,5775.0,5775.0,5792.0,5865.0,5933.0,6063.0,6165.0,6635.0,6473.0,6707.0,6498.0,6504.0,6418.0,6253.0,6513.0,6639.0,6540.0,6627.0,6599.0,6613.0,6768.0,7219.0,7361.0,7870.0,7989.0,8189.0,8059.0,8244.0,8326.0,8442.0,8681.0,8756.0,9022.0,8759.0,8917.0,9227.0,8721.0,8800.0,8555.0,8384.0,8051.0,7763.0,7606.0,7725.0,7406.0,7396.0,6810.0,6704.0,6568.0,6788.0,6820.0,6979.0,6282.0,5680.0,4399.0,4319.0,4245.0,4181.0,4124.0,4776.0,4871.0,4548.0,4415.0,4049.0,3774.0,3646.0,3269.0,2777.0,2462.0,2296.0,1856.0,1470.0,1223.0,937.0,694.0,483.0,411.0,291.0,226.0,107.0,125.0,553254.0,2020
Basilicata,3499,3630.0,3675.0,3922.0,4021.0,4062.0,4028.0,4037.0,4400.0,4380.0,4514.0,4724.0,4858.0,4822.0,4962.0,4938.0,5280.0,5335.0,5502.0,5557.0,5733.0,5708.0,5704.0,5685.0,5769.0,5763.0,5898.0,5944.0,6397.0,6175.0,6433.0,6220.0,6271.0,6187.0,6046.0,6318.0,6427.0,6383.0,6497.0,6464.0,6506.0,6687.0,7108.0,7246.0,7800.0,7906.0,8101.0,7962.0,8177.0,8261.0,8393.0,8602.0,8612.0,8900.0,8685.0,8834.0,9137.0,8627.0,8690.0,8462.0,8271.0,7917.0,7660.0,7521.0,7630.0,7322.0,7278.0,6712.0,6649.0,6490.0,6722.0,6733.0,6859.0,6192.0,5551.0,4325.0,4225.0,4133.0,4053.0,3996.0,4591.0,4664.0,4310.0,4147.0,3764.0,3498.0,3331.0,2974.0,2462.0,2133.0,1968.0,1560.0,1178.0,992.0,731.0,519.0,362.0,312.0,210.0,156.0,165.0,545130.0,2021
Basilicata,3323,3499.0,3647.0,3682.0,3918.0,3990.0,4047.0,4056.0,4032.0,4417.0,4393.0,4541.0,4739.0,4867.0,4826.0,4970.0,4948.0,5355.0,5376.0,5508.0,5515.0,5696.0,5705.0,5665.0,5667.0,5700.0,5701.0,5799.0,5879.0,6285.0,6036.0,6337.0,6155.0,6180.0,6101.0,6001.0,6251.0,6398.0,6330.0,6469.0,6467.0,6485.0,6659.0,7090.0,7243.0,7787.0,7883.0,8095.0,7985.0,8175.0,8259.0,8404.0,8612.0,8634.0,8903.0,8682.0,8848.0,9167.0,8632.0,8696.0,8449.0,8261.0,7917.0,7652.0,7475.0,7582.0,7271.0,7257.0,6664.0,6561.0,6402.0,6617.0,6614.0,6746.0,6075.0,5410.0,4197.0,4110.0,4012.0,3907.0,3809.0,4415.0,4404.0,4077.0,3897.0,3508.0,3189.0,2985.0,2626.0,2120.0,1819.0,1643.0,1292.0,952.0,769.0,555.0,398.0,260.0,208.0,153.0,200.0,541168.0,2022
Basilicata,3195,3337.0,3511.0,3657.0,3720.0,3946.0,4012.0,4056.0,4079.0,4051.0,4431.0,4410.0,4560.0,4752.0,4890.0,4858.0,5005.0,5022.0,5472.0,5428.0,5521.0,5523.0,5728.0,5750.0,5678.0,5682.0,5655.0,5629.0,5722.0,5778.0,6184.0,5942.0,6271.0,6140.0,6112.0,6072.0,5953.0,6213.0,6373.0,6348.0,6465.0,6452.0,6519.0,6679.0,7091.0,7241.0,7779.0,7861.0,8074.0,8012.0,8180.0,8265.0,8410.0,8623.0,8607.0,8902.0,8655.0,8821.0,9124.0,8605.0,8680.0,8413.0,8246.0,7881.0,7615.0,7435.0,7542.0,7226.0,7201.0,6589.0,6473.0,6307.0,6519.0,6480.0,6614.0,5942.0,5292.0,4064.0,3982.0,3875.0,3709.0,3622.0,4167.0,4178.0,3802.0,3580.0,3181.0,2857.0,2627.0,2262.0,1812.0,1511.0,1345.0,1026.0,716.0,582.0,400.0,281.0,167.0,136.0,209.0,537577.0,2023
Calabria,16489,16849.0,17026.0,17512.0,17715.0,17877.0,17920.0,18392.0,18322.0,18764.0,18866.0,18579.0,19295.0,19743.0,19496.0,20075.0,20007.0,20660.0,21244.0,21967.0,23298.0,24242.0,24226.0,24904.0,25649.0,26122.0,25538.0,25268.0,25190.0,25331.0,25018.0,25360.0,25256.0,25314.0,25754.0,25893.0,26623.0,27701.0,27552.0,27811.0,27746.0,27957.0,28267.0,28033.0,29559.0,29281.0,29460.0,29603.0,29382.0,30733.0,29101.0,28994.0,28752.0,28359.0,27695.0,25782.0,26493.0,25682.0,25588.0,25462.0,24040.0,22772.0,23351.0,23820.0,23903.0,24193.0,23657.0,21764.0,16915.0,16999.0,16965.0,16772.0,16165.0,18438.0,18077.0,17050.0,16354.0,15944.0,15945.0,15212.0,14935.0,13784.0,12771.0,12177.0,10603.0,9293.0,8396.0,7459.0,6451.0,5468.0,4579.0,3569.0,2896.0,2404.0,1187.0,740.0,592.0,500.0,423.0,348.0,538.0,1958226.0,2014
