Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Marche,12604,13137.0,13742.0,13907.0,14188.0,14281.0,14035.0,13828.0,13812.0,13746.0,13578.0,13707.0,13503.0,14017.0,13741.0,13916.0,13709.0,13649.0,13891.0,13813.0,14288.0,14962.0,15012.0,15386.0,15243.0,15727.0,15343.0,15986.0,16403.0,16599.0,17096.0,17819.0,17965.0,18739.0,19651.0,20864.0,21446.0,22104.0,23230.0,23790.0,23415.0,23838.0,24480.0,23861.0,24643.0,24429.0,24490.0,24640.0,24473.0,25137.0,23903.0,22700.0,22944.0,22184.0,21600.0,21068.0,20508.0,20732.0,19924.0,19288.0,18822.0,18678.0,18978.0,19384.0,18650.0,19289.0,18719.0,18918.0,15528.0,15088.0,15844.0,15084.0,15033.0,17120.0,17419.0,17446.0,15763.0,14478.0,14839.0,13969.0,13194.0,11796.0,12272.0,11882.0,10090.0,9774.0,9058.0,7893.0,7251.0,5945.0,5141.0,4217.0,3522.0,2895.0,1409.0,769.0,606.0,588.0,526.0,341.0,546.0,1549478.0,2014
Lazio,51899,53542.0,53200.0,53910.0,54319.0,54792.0,54714.0,54399.0,52680.0,52786.0,52380.0,51352.0,51535.0,52213.0,51108.0,51453.0,51173.0,51361.0,51969.0,53038.0,54475.0,56797.0,56632.0,58158.0,58401.0,60211.0,59939.0,60161.0,62890.0,65144.0,67072.0,69737.0,71135.0,72679.0,75697.0,80303.0,82365.0,85856.0,90396.0,94448.0,94512.0,95641.0,95831.0,95805.0,97230.0,96279.0,96619.0,97283.0,97339.0,98813.0,92726.0,88842.0,86605.0,82976.0,80730.0,77494.0,76197.0,74406.0,73403.0,71864.0,67889.0,66318.0,65693.0,67627.0,67435.0,71307.0,70711.0,68804.0,53648.0,53940.0,56409.0,54505.0,54863.0,59966.0,57817.0,55282.0,50826.0,46899.0,46691.0,44038.0,40752.0,37437.0,36139.0,35308.0,29839.0,26503.0,24005.0,21045.0,17946.0,15529.0,13359.0,10709.0,8761.0,6960.0,3416.0,2010.0,1718.0,1496.0,1207.0,876.0,1358.0,5723955.0,2014
Abruzzo,10689,11200.0,11196.0,11578.0,11317.0,11693.0,11519.0,11393.0,11490.0,11570.0,11490.0,11266.0,11756.0,11850.0,11682.0,11938.0,11844.0,12090.0,12252.0,12724.0,13352.0,13852.0,14045.0,14481.0,14568.0,14797.0,14605.0,14877.0,15504.0,15745.0,15730.0,16414.0,16174.0,16539.0,17267.0,17843.0,17970.0,18830.0,19211.0,20016.0,19813.0,20341.0,20770.0,20411.0,21255.0,21127.0,21249.0,21473.0,21655.0,21828.0,20463.0,19696.0,19482.0,19088.0,18811.0,18152.0,17989.0,17676.0,17591.0,17304.0,16333.0,16150.0,16300.0,16867.0,17122.0,17379.0,16594.0,16087.0,12033.0,13030.0,12626.0,12238.0,12292.0,14068.0,14057.0,12904.0,12757.0,11825.0,11964.0,11298.0,11299.0,9962.0,9848.0,9946.0,8282.0,7599.0,7055.0,6118.0,5429.0,4488.0,3738.0,3229.0,2679.0,2067.0,1116.0,602.0,457.0,487.0,396.0,249.0,417.0,1329918.0,2014
Molise,2247,2272.0,2329.0,2483.0,2316.0,2503.0,2502.0,2488.0,2562.0,2580.0,2629.0,2656.0,2702.0,2810.0,2885.0,2879.0,2937.0,2964.0,3071.0,3189.0,3279.0,3490.0,3473.0,3466.0,3518.0,3641.0,3645.0,3550.0,3729.0,3730.0,3768.0,3765.0,3866.0,3779.0,3968.0,3980.0,4063.0,4201.0,4448.0,4578.0,4430.0,4523.0,4512.0,4489.0,4779.0,4763.0,4899.0,4947.0,4941.0,5060.0,4735.0,4663.0,4640.0,4717.0,4569.0,4337.0,4341.0,4327.0,4284.0,4320.0,3921.0,4051.0,3784.0,4073.0,4251.0,4140.0,3968.0,3656.0,2895.0,2827.0,2673.0,2609.0,2865.0,3285.0,3489.0,3017.0,3038.0,3013.0,2962.0,2978.0,2841.0,2535.0,2460.0,2479.0,2110.0,1896.0,1826.0,1542.0,1307.0,1107.0,952.0,875.0,721.0,528.0,247.0,165.0,134.0,138.0,123.0,75.0,124.0,312897.0,2014
Campania,52625,54599.0,55532.0,57314.0,59102.0,59867.0,60912.0,61329.0,61915.0,63963.0,64697.0,64027.0,65555.0,66679.0,66681.0,66734.0,66998.0,68272.0,69257.0,70825.0,73184.0,76737.0,76522.0,76277.0,76030.0,76922.0,73947.0,72924.0,73860.0,74119.0,74436.0,75474.0,74127.0,74724.0,76420.0,78450.0,79986.0,83062.0,85772.0,89010.0,87799.0,88172.0,88793.0,87515.0,89825.0,89792.0,91013.0,91684.0,91701.0,93862.0,88205.0,86083.0,84402.0,81083.0,79793.0,75906.0,75022.0,71720.0,72707.0,71736.0,66037.0,64010.0,64012.0,65275.0,65427.0,66897.0,64559.0,65269.0,53360.0,45440.0,49104.0,46906.0,44778.0,49047.0,47875.0,43935.0,41488.0,38301.0,38374.0,35352.0,34697.0,32020.0,30030.0,29294.0,24578.0,22194.0,19342.0,16571.0,14303.0,11625.0,9810.0,7763.0,6196.0,4641.0,2438.0,1469.0,1233.0,1015.0,874.0,597.0,953.0,5812768.0,2014
Puglia,33439,34490.0,35522.0,36669.0,37196.0,37681.0,38138.0,38409.0,39102.0,40634.0,40837.0,41071.0,42214.0,43058.0,42744.0,42793.0,43073.0,43645.0,44029.0,45126.0,46900.0,49346.0,48971.0,49129.0,48713.0,49684.0,48485.0,47658.0,47391.0,48659.0,48656.0,49720.0,50189.0,51429.0,53517.0,55518.0,57553.0,59666.0,61278.0,62886.0,60816.0,59902.0,61331.0,60974.0,62569.0,62877.0,63604.0,64396.0,64188.0,65168.0,60658.0,59217.0,58580.0,57077.0,55811.0,52857.0,53662.0,52394.0,51758.0,50372.0,48786.0,46946.0,48468.0,50099.0,50171.0,53068.0,49986.0,49423.0,41688.0,37718.0,37646.0,38376.0,36328.0,39480.0,38830.0,36573.0,34375.0,31694.0,31429.0,30112.0,28334.0,26296.0,25211.0,24603.0,20950.0,18854.0,17097.0,14566.0,12246.0,10352.0,8997.0,7181.0,5663.0,4702.0,2307.0,1412.0,1139.0,943.0,795.0,595.0,920.0,4077788.0,2014
Basilicata,4065,4427.0,4358.0,4547.0,4710.0,4858.0,4816.0,4958.0,4912.0,5262.0,5266.0,5416.0,5461.0,5645.0,5622.0,5616.0,5644.0,5784.0,5855.0,6089.0,6329.0,6861.0,6782.0,7134.0,7082.0,6991.0,7025.0,6954.0,7109.0,7219.0,7030.0,7131.0,7051.0,6991.0,7066.0,7477.0,7638.0,8074.0,8145.0,8382.0,8170.0,8361.0,8437.0,8611.0,8812.0,8881.0,9132.0,8884.0,9060.0,9342.0,8874.0,8982.0,8712.0,8583.0,8240.0,7997.0,7827.0,7985.0,7691.0,7711.0,7129.0,7003.0,6891.0,7150.0,7300.0,7518.0,6728.0,6155.0,4885.0,4762.0,4733.0,4769.0,4788.0,5702.0,5862.0,5572.0,5604.0,5279.0,5145.0,5119.0,4952.0,4381.0,4079.0,4194.0,3496.0,3239.0,2968.0,2576.0,2107.0,1685.0,1562.0,1286.0,988.0,776.0,364.0,227.0,187.0,175.0,141.0,91.0,172.0,575814.0,2014
Calabria,16489,16849.0,17026.0,17512.0,17715.0,17877.0,17920.0,18392.0,18322.0,18764.0,18866.0,18579.0,19295.0,19743.0,19496.0,20075.0,20007.0,20660.0,21244.0,21967.0,23298.0,24242.0,24226.0,24904.0,25649.0,26122.0,25538.0,25268.0,25190.0,25331.0,25018.0,25360.0,25256.0,25314.0,25754.0,25893.0,26623.0,27701.0,27552.0,27811.0,27746.0,27957.0,28267.0,28033.0,29559.0,29281.0,29460.0,29603.0,29382.0,30733.0,29101.0,28994.0,28752.0,28359.0,27695.0,25782.0,26493.0,25682.0,25588.0,25462.0,24040.0,22772.0,23351.0,23820.0,23903.0,24193.0,23657.0,21764.0,16915.0,16999.0,16965.0,16772.0,16165.0,18438.0,18077.0,17050.0,16354.0,15944.0,15945.0,15212.0,14935.0,13784.0,12771.0,12177.0,10603.0,9293.0,8396.0,7459.0,6451.0,5468.0,4579.0,3569.0,2896.0,2404.0,1187.0,740.0,592.0,500.0,423.0,348.0,538.0,1958226.0,2014
Sicilia,44162,45921.0,45691.0,46849.0,47988.0,48942.0,48466.0,49401.0,50375.0,51316.0,51077.0,51144.0,52042.0,52583.0,53192.0,53138.0,54123.0,55214.0,56198.0,58201.0,60927.0,63700.0,63119.0,64062.0,63816.0,64295.0,62456.0,61899.0,61875.0,62766.0,61739.0,63254.0,62828.0,64616.0,65260.0,66897.0,67792.0,71023.0,72756.0,74949.0,73593.0,73799.0,75444.0,74701.0,76896.0,75993.0,76741.0,76381.0,75714.0,77870.0,73706.0,73509.0,71721.0,71789.0,68244.0,66069.0,66122.0,64585.0,64449.0,63814.0,58895.0,58382.0,57854.0,59871.0,60208.0,62430.0,61527.0,56614.0,47774.0,45923.0,43869.0,43521.0,43442.0,49163.0,47108.0,44781.0,40230.0,38941.0,38659.0,37933.0,36299.0,32173.0,30965.0,31168.0,25636.0,23469.0,20103.0,18309.0,15211.0,13606.0,10551.0,8829.0,6386.0,5211.0,2738.0,1705.0,1321.0,1181.0,949.0,684.0,943.0,5041754.0,2014
Sardegna,11732,12298.0,12783.0,13264.0,13288.0,13294.0,13334.0,13407.0,13467.0,13299.0,13773.0,13508.0,13862.0,14192.0,13986.0,13681.0,13954.0,14266.0,14738.0,15093.0,15695.0,16399.0,16985.0,17657.0,17576.0,17826.0,18013.0,18151.0,18873.0,19121.0,19594.0,20469.0,20523.0,21198.0,21402.0,23279.0,23870.0,24716.0,25912.0,26958.0,26993.0,26716.0,26721.0,26141.0,27273.0,26499.0,27385.0,27648.0,27620.0,28232.0,26984.0,26262.0,25870.0,25131.0,24566.0,24165.0,24193.0,23645.0,23144.0,23394.0,22266.0,21994.0,21674.0,21837.0,21175.0,21672.0,20740.0,19434.0,18237.0,17862.0,17259.0,17635.0,16423.0,17886.0,16785.0,15185.0,13938.0,13639.0,12376.0,12713.0,12117.0,10896.0,10028.0,10026.0,8697.0,8072.0,6780.0,6353.0,5068.0,4637.0,3884.0,3027.0,2231.0,1933.0,1274.0,691.0,503.0,470.0,398.0,250.0,445.0,1652528.0,2014
