Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Molise,1888,1863,2079,2026,2115,2153,2192,2245,2316,2444,2271,2471,2481,2479,2548,2566,2603,2672,2740,2867,2965,3142,3076,3077,3140,3240,3317,3427,3396,3342,3349,3386,3428,3340,3438,3427,3479,3583,3645,3586,3797,3902,3963,4066,4324,4499,4340,4457,4428,4438,4683,4695,4821,4886,4884,5053,4694,4566,4524,4637,4444,4204,4204,4197,4121,4158,3786,3912,3605,3878,4030,3905,3708,3408,2641,2571,2395,2297,2523,2813,2933,2442,2406,2351,2230,2138,1939,1650,1478,1471,1140,911,816,640,456,393,269,219,162,97,116,300516,2020
Piemonte,27785,28996,30833,32053,32833,34181,35065,36414,36698,37577,38651,38936,38912,38350,38154,38113,38254,37717,38009,39639,39254,40093,39914,39449,39408,39827,40479,41959,42306,43501,42914,44185,43190,43888,45113,45395,46805,48704,48902,50271,51568,55153,58102,60774,64456,67320,67215,68869,69993,69295,71752,71239,71191,71724,71373,72421,67550,65010,64262,62176,60580,58898,58516,57123,55970,55161,53151,52941,51885,54006,54376,56949,55359,53609,40698,43227,42568,42562,42430,45638,44405,42233,37401,33293,32107,28730,25441,23181,20849,19072,15213,12224,10073,7696,5813,4291,3253,2411,1610,1008,1096,4311217,2020
Puglia,27126,28416,29647,30597,30971,32418,33061,34277,35383,36556,36955,37473,37915,38162,38866,40267,40598,40771,42045,43127,43140,43153,43025,43236,43064,43266,44292,46038,45130,44931,44417,45508,44564,44199,44234,45872,46187,47711,48430,49839,52533,54289,56482,58656,60241,61782,59871,58990,60408,60040,61584,61788,62572,63011,63002,63905,59288,57748,57131,55557,54177,51287,51927,50411,49916,48418,46694,44689,46067,47314,46899,49398,46130,45048,37758,33739,33283,33583,31336,33360,32234,29672,27231,24259,23256,21351,18929,16787,14899,13606,10552,8831,7351,5421,4103,2975,2359,1625,1078,725,882,3953305,2020
Sardegna,8717,9211,10006,10423,10967,11252,11614,12206,12843,13244,13277,13327,13297,13394,13476,13266,13754,13537,13883,14441,14379,14113,14226,14499,14865,15035,15499,16153,16480,17026,16982,17235,17404,17417,18119,18438,18942,19990,20050,20855,21050,23090,23517,24468,25721,26868,26881,26575,26547,26213,27069,26348,27194,27423,27344,27906,26674,25997,25451,24662,24117,23682,23647,23132,22390,22651,21488,21132,20698,20704,20003,20252,19302,17913,16626,16120,15409,15587,14214,15431,14178,12485,11308,10617,9341,9221,8448,7299,6310,5965,4833,4046,3156,2602,1814,1501,1033,777,503,388,458,1611621,2020
Sicilia,37683,39459,40502,40589,41903,42972,42416,44542,44642,46202,47207,48062,47764,48748,49699,50626,50616,50895,52375,53999,54663,53718,53774,54051,54442,55493,57091,59222,58164,58539,58537,58784,57281,57332,57824,58992,58231,60130,60229,62407,63097,64894,65838,69048,70808,73357,72020,72415,73849,73113,75468,74499,75229,74688,74090,76013,71871,71584,69770,69753,66165,63998,63784,62144,61780,61081,56152,55395,54596,56106,56049,57555,56284,51046,42761,40547,38149,37239,36582,40753,38195,35414,30774,28799,27341,25747,23276,19702,17468,16414,12198,10251,7817,6439,4838,3801,2514,1867,1199,829,1032,4875290,2020
Toscana,23220,24713,26112,27031,27602,29161,29467,31289,31668,32704,32840,33856,33547,33276,33165,33144,32348,32589,32647,33175,32503,33274,33054,33080,32794,33081,33652,35574,35477,37254,36930,38395,37573,37676,39462,40126,41282,42516,43111,44417,46583,49404,51276,53755,56570,59349,59592,60095,60564,59479,61065,60195,60599,61360,61325,61888,57768,55650,54466,52794,51500,49497,48339,47620,46609,46049,43629,43128,42836,44046,45862,48626,48299,48276,37174,36787,36527,34616,35234,38750,36741,35999,31568,27807,27321,24152,21910,19539,18021,16595,13374,11330,9335,7381,5678,4419,3304,2292,1681,1098,1044,3692555,2020
Trentino-Alto Adige/Südtirol,9468,9736,10024,10278,10396,10636,10623,10859,10901,11092,10974,11280,11157,11237,11396,11529,11261,11164,11496,11772,11780,11928,11914,11881,11603,11773,11641,12080,12075,12174,12025,12092,11897,11923,12209,12264,12629,13059,12956,13135,13179,13883,13980,14547,15311,16229,16272,16513,17076,16762,17634,17477,17416,17784,17909,17823,16696,15781,15752,15072,14544,13645,13352,12891,12320,11901,11688,11354,11019,11354,10821,11131,10749,11443,8139,9262,9710,9491,9344,8839,8367,7688,6778,6169,5847,5422,4996,4523,4036,3746,3001,2538,2122,1667,1347,1028,862,633,403,268,218,1078069,2020
Umbria,5488,5699,5992,6381,6428,6845,7118,7461,7552,7742,7706,8132,8097,7982,7948,7743,7656,7668,7600,7825,7818,7913,7868,7916,7907,7948,8168,8604,8484,8722,8918,9336,9027,9190,9496,9619,10280,10214,10491,10592,11014,11605,12087,12424,13041,13644,13561,13400,13633,13423,13860,13812,13653,13660,14170,14230,13330,12955,12907,12722,12188,11533,11285,11469,11175,10886,10689,10082,10556,10676,11005,11713,10765,10288,8207,8656,8979,8195,8199,8997,8659,8619,7443,6652,6480,6038,5531,4716,4550,4090,3236,2734,2378,1856,1510,1150,783,542,423,249,278,870165,2020
Valle d'Aosta/Vallée d'Aoste,835,893,888,951,961,1050,1033,1124,1182,1155,1224,1204,1207,1235,1142,1175,1182,1115,1183,1226,1192,1201,1132,1216,1154,1142,1136,1233,1196,1268,1238,1281,1241,1244,1299,1310,1383,1409,1329,1440,1424,1708,1659,1782,1841,1955,2003,2017,2102,2064,2201,2112,2175,2203,2113,2262,2078,1912,1940,1761,1857,1666,1661,1598,1622,1592,1560,1493,1510,1501,1582,1595,1481,1408,1082,1148,1202,1186,1183,1222,1114,1118,975,851,764,682,675,572,532,517,412,342,268,214,166,102,89,63,49,29,30,125034,2020
Veneto,33275,35392,36931,38142,39268,40633,41614,43637,44439,45848,46493,47439,46938,47008,46717,47337,46459,45949,45918,47924,47264,48008,48016,47568,46906,47084,47442,49338,49235,50365,50132,51262,49585,50111,52727,52812,53983,56135,57256,58838,61341,65589,68034,71149,74794,79530,78989,80178,81203,81245,83349,82398,83014,83653,83635,84302,78942,75880,74210,70077,69527,65103,63594,62342,59960,58876,56779,55612,54670,56747,55693,57082,55342,59502,40425,46259,46642,44644,43629,45225,43265,40421,35609,31710,30724,28013,23917,21956,19431,17984,14176,12283,10319,7933,6268,4628,3617,2412,1664,1068,1142,4879133,2020
Abruzzo,8249,8577,8939,9618,10121,10299,10354,10483,11035,11189,11488,11341,11726,11543,11412,11569,11653,11579,11463,11804,12103,12029,12394,12338,12482,12405,12806,13071,13561,13498,13746,13750,14019,13826,14295,14744,15018,14987,15739,15676,16158,16777,17424,17641,18344,18889,19695,19489,20082,20421,20048,20932,20688,20865,21082,21101,21239,19935,19236,18840,18535,18224,17482,17284,16961,16963,16580,15509,15501,15454,15828,16022,16119,15150,14583,10831,11491,11012,10497,10342,11581,11408,10077,9655,8573,8237,7334,6879,5730,5197,4810,3652,2922,2457,1777,1378,1046,715,534,382,485,1281012,2021
Basilicata,3499,3630,3675,3922,4021,4062,4028,4037,4400,4380,4514,4724,4858,4822,4962,4938,5280,5335,5502,5557,5733,5708,5704,5685,5769,5763,5898,5944,6397,6175,6433,6220,6271,6187,6046,6318,6427,6383,6497,6464,6506,6687,7108,7246,7800,7906,8101,7962,8177,8261,8393,8602,8612,8900,8685,8834,9137,8627,8690,8462,8271,7917,7660,7521,7630,7322,7278,6712,6649,6490,6722,6733,6859,6192,5551,4325,4225,4133,4053,3996,4591,4664,4310,4147,3764,3498,3331,2974,2462,2133,1968,1560,1178,992,731,519,362,312,210,156,165,545130,2021
Calabria,13928,14425,15030,15620,15949,16267,16048,16142,16607,16803,17293,17549,17730,17828,18383,18197,18740,18782,18631,19348,19898,19517,19734,19290,19662,19942,20297,20984,21507,21341,21888,22252,22692,22350,22227,22418,22814,22716,23288,23221,23664,24197,24532,25199,26416,26459,26724,26662,26960,27240,27008,28495,28011,28349,28479,28322,29571,27851,27809,27471,27265,26546,24622,25276,24510,24261,24116,22704,21614,22035,22294,22118,22203,21344,19354,14913,14762,14341,14047,13307,14869,14084,12919,11931,11221,10565,9592,8920,7657,6513,5707,4460,3552,2778,2217,1607,1239,845,577,401,558,1860601,2021
Campania,44921,46680,47777,50036,50508,51330,51337,52503,54874,56164,57895,59410,60159,61484,61776,62387,64371,64922,63739,64971,65962,65131,65002,64721,65066,64809,65331,66345,69065,68325,68122,67895,69079,67209,66742,68459,69862,70641,72566,71779,72859,74496,76593,78189,81016,83738,86701,85281,85558,86099,84585,86611,86446,87516,87808,87785,89448,83790,81766,80056,76432,75194,71212,70225,66956,67584,66684,61038,59322,59273,59844,59294,60162,57365,57175,45865,38675,41057,38390,36092,38435,36459,32395,29424,25934,24652,21437,19650,16880,14453,12742,9773,7835,5899,4382,3296,2329,1682,1182,813,1073,5624260,2021
Emilia-Romagna,29948,31289,33080,34027,35709,36831,37333,38371,39503,40231,41620,42314,42138,41875,41506,40924,40660,39670,40025,40348,41495,41132,41793,41862,41731,41675,42396,43031,45562,45800,47021,46845,47450,47303,47745,49561,50641,51802,53388,53657,55677,57988,61733,64321,67394,70864,73840,73796,74023,74447,73328,74059,73466,72347,72935,71821,73014,68223,65766,64260,62128,60539,57553,57016,55905,53537,51895,49513,48827,47964,50144,50430,52929,52250,52576,36676,40630,39784,38417,38637,41355,39766,38336,33160,28973,28983,26577,22936,19737,17820,16148,12726,10581,8645,6648,5244,3810,2744,1890,1312,1602,4438937,2021
Friuli-Venezia Giulia,7459,7556,7909,8310,8765,8854,9294,9458,9839,10056,10444,10620,10591,10739,10732,10551,10602,10543,10417,10774,11112,10774,10961,10838,11079,10721,10820,10881,11585,11653,11777,11765,12069,11633,11922,12466,12684,12713,13439,13558,14136,14464,15731,16030,16990,17941,19365,19141,19746,19828,20037,20133,20033,20209,20255,20468,20828,19739,18597,18123,17488,17283,16266,15803,15573,15151,14911,14730,14605,14371,15263,15007,15856,15743,16420,11090,13058,12689,12577,12499,12846,11917,11031,9726,8588,7903,6839,6121,5500,4791,4477,3494,2853,2397,1905,1474,1131,826,573,462,516,1201510,2021
Lazio,38076,40302,43332,45358,47869,49208,49438,50565,53399,53678,54933,55067,55572,55837,55461,53660,53884,53149,52190,52905,54277,53837,54864,54472,54969,55373,55642,56541,59278,58903,60858,61121,63451,63125,63366,66540,68814,70478,73373,74044,75409,77973,82214,83722,87313,91938,95511,95369,96429,96280,96084,97287,96000,96204,96562,96291,97719,91433,87265,84714,80981,78184,74579,73058,71199,69938,68220,64008,62794,61759,63103,62710,65563,64378,61956,47792,47404,48782,46623,46176,49608,46499,43195,38467,34223,32511,29059,25287,21741,19295,17503,13355,10641,8453,6628,4754,3644,2631,1838,1322,1612,5730399,2021
Liguria,8818,8859,9180,9930,10204,10526,11015,11174,11748,11644,12144,12681,12920,12646,12837,12778,12832,12620,12923,13101,13408,13341,13674,13479,13785,13425,13522,13731,14366,14153,14330,14294,14658,14329,14177,14860,14816,15167,15186,15884,15711,16452,17769,18779,19878,21351,22699,23115,24318,24509,24703,25260,25561,25356,26306,26749,26978,25255,24358,23582,22730,22433,21460,21180,20554,19938,19765,19040,18501,18510,19597,19744,20771,21172,21146,15125,16940,16289,16388,16706,17582,16886,16017,14381,12644,11863,10660,9705,8837,7692,7099,5658,4547,3570,2773,2097,1498,1073,827,506,737,1518495,2021
Lombardia,69292,73699,77135,80660,83682,86682,87517,89290,92338,94248,97045,99140,99348,98088,98613,96244,96058,93827,92885,95099,97643,97229,98602,98196,97847,97406,98517,100442,104127,104867,107650,108372,111683,109726,110510,113998,116861,119706,124258,125214,127611,130679,137958,143874,149325,159068,163857,163573,164922,165029,163552,167475,166521,165848,168608,167079,165667,154734,146517,141724,136494,132314,125618,122815,120482,116744,114038,109678,109427,107997,111893,112185,115414,110982,113206,82403,87083,84783,85071,85220,90253,85887,80422,69306,60055,57942,50842,44736,39949,34569,30199,23908,18948,15148,11377,8610,6178,4415,2994,2070,2534,9981554,2021
Marche,9462,9727,10258,10808,11519,11959,12174,12479,12762,13426,13595,13971,14033,13881,13681,13708,13737,13614,13764,13762,14385,14319,14633,14495,14387,14403,14240,14450,14991,14895,15405,15168,15611,15214,15751,16198,16401,16858,17673,17775,18633,19372,20616,21200,21813,22930,23462,23176,23409,24179,23387,24235,23918,23954,24062,23957,24695,23321,22148,22413,21587,20945,20319,19834,19937,19136,18429,17908,17818,18004,18269,17578,18031,17304,17216,14106,13462,14013,13115,12974,14441,14415,14056,12187,10749,10650,9429,8411,7093,6726,5820,4491,3861,3215,2445,1900,1310,972,645,440,543,1498236,2021
Molise,1706,1888,1880,2088,2046,2126,2144,2192,2220,2311,2410,2261,2458,2470,2461,2549,2557,2633,2696,2736,2836,2938,3043,2977,2969,3052,3109,3162,3297,3207,3221,3182,3306,3263,3228,3298,3275,3341,3491,3519,3509,3728,3810,3864,4005,4254,4451,4257,4395,4359,4386,4601,4646,4744,4833,4811,4966,4621,4520,4486,4587,4384,4140,4128,4143,4038,4092,3724,3882,3563,3811,3979,3835,3614,3336,2591,2510,2309,2241,2435,2722,2818,2316,2263,2182,2060,1960,1752,1452,1286,1258,949,741,662,500,342,289,210,159,107,132,294294,2021
Piemonte,27170,28209,29327,31197,32598,33367,34172,35248,36534,36857,37735,38857,39057,39043,38493,38326,38171,38180,37666,38063,40009,39625,40511,40438,40040,39783,40151,40745,42304,42464,43553,42931,44055,43124,43871,44931,45252,46731,48629,48830,50170,51489,55015,57917,60606,64228,67106,67044,68728,69716,69002,71460,70838,70743,71256,70919,71817,67108,64316,63671,61535,59767,58105,57600,56255,55132,54303,52283,52259,51286,53307,53498,55944,54307,52515,39729,42123,41285,41086,40835,43616,42291,39940,34975,30818,29335,25911,22604,20226,17840,15954,12503,9611,7748,5715,4163,3058,2283,1563,1032,1209,4274945,2021
Puglia,26373,27570,28912,30201,31266,31648,32800,33460,34681,35816,37056,37415,37939,38366,38633,39388,40708,41062,41017,42177,43172,42908,42843,42495,42471,41997,42021,42859,44576,43763,43664,43257,44499,43775,43556,43642,45400,45728,47439,48172,49674,52272,54062,56414,58483,60104,61663,59792,58871,60208,59771,61320,61470,62302,62668,62679,63476,58924,57359,56719,55177,53774,50917,51510,50047,49591,48069,46329,44614,45961,47129,46685,49079,45682,44591,37277,33159,32672,32822,30572,32285,31131,28418,25819,22760,21643,19600,17209,15060,13130,11839,8900,7248,5944,4273,3106,2212,1706,1170,707,1004,3933777,2021
Sardegna,8243,8849,9355,10149,10586,11190,11311,11690,12261,12921,13324,13354,13408,13391,13469,13544,13361,13830,13532,13817,14333,14090,13771,13882,14017,14361,14421,14787,15397,15823,16253,16296,16526,16732,16778,17539,17900,18501,19502,19697,20527,20793,22772,23240,24185,25406,26634,26640,26337,26323,26016,26855,26128,26905,27151,27098,27665,26440,25762,25196,24446,23892,23405,23418,22903,22188,22430,21254,21050,20584,20574,19868,20081,19077,17660,16388,15848,15052,15227,13799,14936,13632,11982,10744,9978,8718,8498,7766,6614,5611,5167,4140,3421,2585,2072,1406,1122,760,562,353,569,1590044,2021
Sicilia,37387,38630,40326,41372,41619,43022,43456,43064,45062,45543,46813,47909,48711,48450,49446,50351,50871,50673,50815,51896,53050,52853,51699,51628,51974,52067,52837,54350,56421,55647,56128,56281,56778,55608,55801,56496,57899,57304,59301,59610,61781,62532,64434,65359,68618,70438,72811,71518,71871,73340,72561,74856,73744,74599,73952,73329,75189,71271,70895,69068,69125,65606,63370,63220,61623,61295,60664,55754,55404,54578,56012,55812,57294,55900,50538,42270,39893,37408,36367,35663,39478,36821,33845,29078,27013,25367,23596,20956,17480,15330,14150,10256,8389,6265,4971,3691,2788,1824,1297,829,1171,4833705,2021
Toscana,22427,23605,25128,26508,27598,28203,29376,29732,31552,31995,32997,33097,34233,33879,33666,33617,33482,32722,32922,33116,33940,33448,34259,33974,33928,33618,33713,34190,36046,35928,37644,37314,38855,38095,38147,39859,40675,41865,43140,43711,44894,47019,49948,51914,54298,57174,59837,60153,60621,61102,59885,61443,60404,60674,61365,61254,61719,57614,55309,54031,52417,51038,48983,47884,47072,45995,45475,42948,42659,42380,43537,45279,47923,47552,47387,36425,35924,35585,33653,34146,37356,35190,34320,29887,26066,25437,22154,19884,17452,15850,14212,11281,9360,7492,5816,4309,3288,2374,1614,1106,1293,3692865,2021
Trentino-Alto Adige/Südtirol,9230,9556,9774,10041,10292,10426,10521,10610,10904,10915,11089,11005,11267,11188,11211,11393,11495,11233,11142,11542,11843,11879,12084,12025,12019,11683,11826,11702,12134,12143,12260,12108,12281,12034,12076,12293,12394,12778,13169,13061,13283,13325,14057,14143,14658,15473,16401,16403,16644,17193,16814,17717,17516,17439,17749,17812,17745,16642,15701,15612,14908,14414,13504,13194,12714,12123,11674,11377,11191,10833,11146,10624,10887,10478,11146,7900,8975,9366,9120,8930,8388,7956,7241,6325,5730,5347,4903,4441,3972,3490,3140,2458,2032,1682,1260,1002,729,572,413,254,286,1077078,2021
Umbria,5268,5625,5811,6107,6510,6579,6907,7148,7481,7554,7766,7740,8130,8138,8025,7982,7796,7689,7732,7755,7960,8023,8084,8018,7975,7949,7936,8100,8484,8376,8548,8799,9213,8871,9066,9386,9536,10224,10185,10441,10590,11007,11577,12025,12424,13028,13638,13536,13370,13601,13384,13783,13803,13621,13614,14150,14161,13256,12914,12807,12656,12119,11440,11183,11371,11073,10783,10586,10000,10484,10595,10902,11562,10635,10136,8084,8482,8801,7969,7992,8761,8352,8274,7095,6275,6117,5607,5091,4248,4034,3570,2782,2265,1953,1458,1158,860,548,364,256,325,865452,2021
Valle d'Aosta/Vallée d'Aoste,784,830,893,882,955,977,1043,1027,1134,1188,1160,1218,1205,1209,1238,1148,1177,1196,1113,1187,1225,1197,1200,1151,1218,1153,1131,1135,1257,1171,1261,1226,1282,1252,1254,1303,1306,1389,1411,1324,1449,1421,1712,1670,1778,1852,1971,1997,2023,2088,2068,2201,2118,2164,2185,2107,2264,2062,1890,1926,1740,1831,1669,1642,1582,1583,1570,1537,1482,1483,1481,1544,1566,1470,1368,1046,1118,1172,1141,1134,1169,1058,1055,911,776,687,607,590,488,464,442,334,274,212,155,124,69,60,40,25,34,124089,2021
Veneto,32716,33763,35850,37405,38658,39762,40763,41764,43725,44576,45871,46584,47580,47126,47175,46861,47345,46414,45989,46324,48525,48067,48902,48877,48400,47596,47608,47890,49716,49633,50811,50426,51630,49996,50453,52969,53153,54294,56456,57473,59176,61667,65864,68308,71487,75039,79663,79109,80263,81308,81241,83255,82331,82873,83421,83373,83966,78617,75539,73781,69632,68946,64483,62870,61747,59340,58148,55975,55032,54030,55977,54957,56269,54442,58432,39572,45241,45415,43383,42209,43488,41424,38412,33541,29640,28340,25681,21517,19407,16992,15287,11806,9926,8185,6110,4680,3331,2464,1661,1102,1329,4869830,2021
Abruzzo,8261,8328,8619,8970,9626,10090,10273,10403,10567,11112,11258,11568,11409,11812,11620,11484,11625,11742,11601,11453,11806,12047,11988,12321,12195,12433,12329,12704,12998,13459,13443,13716,13708,14024,13821,14305,14783,15030,15002,15768,15721,16176,16846,17515,17650,18448,18973,19800,19546,20106,20464,20085,20987,20710,20916,21158,21175,21237,20015,19239,18848,18567,18238,17469,17243,16918,16861,16485,15431,15326,15232,15615,15782,15883,14843,14284,10563,11169,10672,10129,9951,11063,10833,9514,9009,7933,7540,6641,6125,4972,4492,4038,3011,2316,1897,1332,1050,768,488,367,584,1275950,2022
Basilicata,3323,3499,3647,3682,3918,3990,4047,4056,4032,4417,4393,4541,4739,4867,4826,4970,4948,5355,5376,5508,5515,5696,5705,5665,5667,5700,5701,5799,5879,6285,6036,6337,6155,6180,6101,6001,6251,6398,6330,6469,6467,6485,6659,7090,7243,7787,7883,8095,7985,8175,8259,8404,8612,8634,8903,8682,8848,9167,8632,8696,8449,8261,7917,7652,7475,7582,7271,7257,6664,6561,6402,6617,6614,6746,6075,5410,4197,4110,4012,3907,3809,4415,4404,4077,3897,3508,3189,2985,2626,2120,1819,1643,1292,952,769,555,398,260,208,153,200,541168,2022
Calabria,13169,13922,14443,15045,15572,15805,16118,16178,16215,16709,16930,17416,17661,17877,17952,18546,18309,18925,18737,18528,19177,19519,19372,19614,19212,19503,19778,20005,20809,21248,21187,21721,22115,22515,22246,22173,22408,22780,22683,23293,23232,23746,24278,24659,25297,26508,26524,26889,26802,27083,27415,27188,28693,28234,28549,28749,28480,29775,28052,27962,27615,27312,26608,24700,25337,24503,24236,24023,22651,21353,21715,21918,21751,21742,20916,18917,14464,14261,13815,13454,12698,14146,13309,12083,11116,10322,9579,8553,7844,6632,5563,4757,3641,2807,2203,1646,1192,897,630,392,623,1855454,2022
