Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Abruzzo,8372,8810,9436,9971,10085,10300,10453,10966,11115,11479,11286,11691,11487,11364,11488,11594,11513,11386,11793,12059,12025,12419,12361,12600,12479,12992,13374,13928,13842,14063,14136,14409,14156,14547,14947,15232,15229,15931,15835,16291,16930,17594,17738,18493,19005,19819,19575,20194,20558,20154,21054,20872,21060,21245,21272,21378,20132,19393,19039,18712,18421,17733,17472,17178,17188,16796,15728,15599,15596,15994,16233,16349,15403,14841,11066,11792,11286,10827,10736,12039,11902,10598,10210,9233,8885,8051,7676,6435,5931,5567,4339,3578,3089,2326,1789,1396,1002,745,526,332,393,1293941,2020
Basilicata,3630,3639,3898,3968,3996,4045,4026,4406,4374,4527,4722,4852,4792,4953,4920,5246,5289,5466,5529,5748,5775,5775,5792,5865,5933,6063,6165,6635,6473,6707,6498,6504,6418,6253,6513,6639,6540,6627,6599,6613,6768,7219,7361,7870,7989,8189,8059,8244,8326,8442,8681,8756,9022,8759,8917,9227,8721,8800,8555,8384,8051,7763,7606,7725,7406,7396,6810,6704,6568,6788,6820,6979,6282,5680,4399,4319,4245,4181,4124,4776,4871,4548,4415,4049,3774,3646,3269,2777,2462,2296,1856,1470,1223,937,694,483,411,291,226,107,125,553254,2020
Calabria,14177,14777,15345,15628,15901,16068,16075,16483,16714,17254,17491,17693,17760,18278,18079,18665,18700,18573,19403,20067,20051,20443,20035,20533,20884,21328,22144,22754,22573,23144,23414,23922,23467,23184,23295,23663,23522,23993,23949,24259,24826,25160,25690,26939,26861,27183,27117,27347,27763,27531,29051,28619,28953,29047,28804,30062,28373,28281,27957,27657,26960,25056,25763,24875,24673,24475,23045,21745,22154,22469,22360,22483,21708,19731,15234,15125,14777,14505,13777,15508,14773,13634,12649,11992,11467,10496,9918,8623,7531,6637,5285,4295,3431,2799,2126,1670,1202,814,567,409,460,1894110,2020
Campania,46010,47138,49346,49478,50210,50945,52006,54373,55531,57239,58784,59471,60734,61105,61704,63793,64520,64111,65819,67244,67525,67752,67634,68154,68102,68758,69828,72654,71820,71252,70782,71677,69391,68832,70390,71437,72005,73816,72941,73987,75640,77715,79245,82208,85009,87943,86661,87234,87685,86257,88559,88490,89510,90043,89931,91751,85981,83901,82037,78481,77176,73066,71977,68582,69129,68139,62292,60040,59873,60593,60189,61147,58376,58268,46997,39694,42313,39699,37467,40230,38307,34281,31460,27907,26861,23599,21981,19189,16702,14986,11719,9629,7496,5754,4376,3194,2366,1670,1149,783,908,5712143,2020
Emilia-Romagna,30914,32779,33739,35347,36507,37450,38385,39593,40376,41720,42417,42163,41874,41506,40843,40458,39494,39815,39910,40826,40128,40470,40493,40409,40357,41222,41887,44397,44978,46319,46150,46883,46864,47438,49328,50482,51621,53200,53613,55662,57998,61720,64322,67516,70994,74067,74043,74226,74728,73698,74376,73973,72843,73514,72467,73674,68878,66450,64992,62930,61429,58440,57966,56909,54473,52880,50532,49703,48825,51054,51451,54078,53467,53910,37788,41845,41123,39912,40284,43271,41788,40600,35471,31284,31628,29281,25567,22390,20690,18967,15279,13079,10885,8623,6974,5314,4012,2809,2008,1289,1415,4464119,2020
Friuli-Venezia Giulia,7450,7802,8229,8615,8715,9243,9426,9844,10021,10410,10550,10534,10734,10690,10511,10580,10517,10384,10586,10944,10586,10721,10576,10874,10567,10592,10761,11415,11561,11698,11701,12010,11537,11856,12394,12598,12650,13386,13489,14008,14391,15664,15915,16874,17871,19320,19133,19738,19782,19989,20071,19983,20217,20257,20487,20824,19748,18680,18219,17597,17347,16354,15961,15747,15377,15102,15000,14809,14594,15498,15212,16138,16064,16760,11362,13440,13071,13001,12960,13401,12443,11654,10352,9160,8556,7495,6786,6167,5492,5202,4159,3518,2977,2472,1975,1565,1187,833,682,426,392,1206216,2020
Lazio,38162,42329,44307,46590,47781,49513,50450,53333,53295,54609,54780,55204,55430,54995,53249,53681,53171,52271,52733,53789,53247,54323,54205,54762,55343,55827,56857,59566,59161,61170,61510,63705,63408,63823,66870,69063,70605,73521,74362,75841,78238,82513,84090,87658,92094,95799,95794,96772,96727,96643,97972,96850,96901,97282,97103,98595,92261,88179,85679,82008,79288,75814,74285,72422,71015,69454,65275,63408,62378,63750,63403,66355,65262,62964,48744,48387,50014,47928,47634,51316,48404,45267,40468,36413,34924,31562,27834,24289,21993,20224,15731,12883,10436,8429,6231,4874,3618,2566,1812,1230,1417,5755700,2020
Liguria,8632,8971,9674,9926,10202,10858,10956,11590,11409,11930,12472,12738,12464,12639,12571,12648,12429,12778,12942,13239,13138,13388,13335,13646,13267,13350,13579,14327,14093,14200,14198,14540,14198,14100,14741,14620,15011,14994,15667,15533,16270,17586,18607,19788,21177,22576,22990,24222,24490,24664,25246,25485,25351,26340,26833,27047,25426,24459,23668,22830,22619,21614,21355,20763,20083,19979,19302,18664,18617,19779,19963,21024,21505,21477,15458,17305,16708,16967,17282,18345,17679,16903,15244,13592,12881,11630,10754,9935,8900,8292,6801,5576,4571,3586,2808,2100,1564,1174,799,547,633,1524826,2020
Lombardia,72560,76022,79620,82300,85067,87242,88821,92013,93991,96782,98664,98737,97568,97967,95729,96079,94090,92846,94438,96559,95790,96608,96156,95693,94989,96291,98414,102237,103414,106567,107554,110812,109093,110118,113852,116544,119588,124112,124995,127531,130774,138105,144006,149545,159303,164177,164021,165437,165584,164121,168262,167340,166682,169652,168236,166957,155897,147857,143184,138042,133949,127416,124714,122405,118648,115894,111738,111032,109629,113693,114336,117752,113502,115962,84776,89829,87799,88391,88964,94898,90760,85531,74385,65275,63704,56653,50629,45748,40549,36243,29330,24052,19579,15293,11929,8983,6634,4624,3328,2093,2318,10027602,2020
Marche,9582,10140,10706,11402,11861,12179,12490,12818,13452,13632,14000,14074,13867,13695,13666,13700,13552,13682,13658,14274,14235,14575,14413,14273,14428,14308,14600,15201,15155,15551,15367,15725,15373,15931,16290,16481,17006,17745,17844,18625,19450,20699,21294,21904,23021,23585,23247,23494,24262,23494,24388,24050,24125,24284,24160,24853,23517,22386,22636,21795,21200,20562,20083,20198,19403,18696,18150,18060,18280,18534,17853,18308,17589,17545,14410,13831,14424,13535,13414,15032,15066,14764,12923,11521,11486,10350,9321,7928,7679,6787,5386,4663,4051,3215,2556,1782,1368,935,691,446,447,1512672,2020
